Name,cat,rating
1000xRESIST,3,2
A Robot Named Fight,3,3
A Short Hike,3,1
BIG TOURNAMENT GOLF,4,3
GAROU: MARK OF THE WOLVES,4,1
MAGICAL DROP III,4,4
METAL SLUG,4,3
SAMURAI SHODOWN V SPECIAL,4,4
SUPER SIDEKICKS 2,4,4
THE KING OF FIGHTERS '98,4,2
THE KING OF FIGHTERS 2000,4,3
THE KING OF FIGHTERS 2002,4,2
THE LAST BLADE 2,4,3
Afterimage,3,3
Animal Crossing: New Horizons,1,1
ANIMAL WELL,3,3
Baba Is You,3,4
Battle Chef Brigade,3,2
Brotato,3,1
Celeste,3,1
Chicory: A Colorful Tale,3,1
Cities: Skylines,2,3
Cosmic Star Heroine,3,1
Crawl,3,2
CrossCode,3,3
Danmaku Unlimited 3,3,3
Dead Cells,3,3
Dicey Dungeons,3,1
Disco Elysium,3,6
Disgaea 5,2,4
Donkey Kong Country: Tropical Freeze,1,2
DOOM (1993),4,2
Dorfromantik,3,4
Dragon's Dogma: Dark Arisen,4,4
Enter the Gungeon,3,4
FIFA 18,2,3
FINAL FANTASY VI,4,2
Furi,3,2
Going Under,3,3
The Great Ace Attorney Chronicles,4,2
GUILTY GEAR XX ACCENT CORE PLUS R,4,2
Hades,3,1
Hollow Knight,3,2
In Stars and Time,3,2
ISLANDERS,3,2
Katamari Damacy REROLL,4,2
The Legend of Zelda: Breath of the Wild,1,1
Levels+,3,4
LIVE A LIVE,2,3
LUMINES,4,1
Mario + Rabbids Kingdom Battle,2,3
Mario Kart 8 Deluxe,1,2
Mega Man Zero/ZX Legacy Collection,4,6
The MISSING: J.J. Macfield and the Island of Memories,3,2
Mom Hid My Game!,3,3
Monster Sanctuary,3,2
NEO: The World Ends with You,2,1
Ring Fit Adventure,1,3
Octopath Traveler,2,2
OCTOPATH TRAVELER II,2,1
OKAMI,4,2
OlliOlli,3,3
One Step From Eden,3,3
Outer Wilds,3,2
Overcooked,3,3
Paradise Killer,3,2
Persona 5 Royal,2,6
Phoenix Wright: Ace Attorney Trilogy,4,2
Pokémon Shield,1,3
Portal: Companion Collection,4,3
Puyo Puyo Tetris,2,2
Resident Evil Revelations 2,4,3
Revita,3,3
Roguebook,3,4
Puyo Puyo 2,4,2
Sid Meier’s Civilization VI,2,3
Skullgirls 2nd Encore,4,3
Slay the Spire,3,1
Stardew Valley,3,3
SteamWorld Dig 2,3,2
SteamWorld Heist,3,1
SteamWorld Quest: Hand of Gilgamech,3,3
Street Fighter 30th Anniversary Collection,4,3
Super Mario Bros. Wonder,1,3
Super Mario Odyssey,1,2
Super Smash Bros. Ultimate,1,1
Tetris Effect: Connected,3,3
Thumper,3,4
Toki Tori 2+,3,4
TowerFall,3,4
Transistor,3,3
Umurangi Generation,3,1
Undertale,3,2
Valkyria Chronicles,4,4
Vampire Survivors,3,2
Venba,3,3
Wargroove,3,4
We Love Katamari REROLL,4,1
Xenoblade Chronicles 2,1,5
Xenoblade Chronicles 3,1,2
Pokémon Violet,1,4
